No,Category,Criteria,Metrics,Score,Passing Grade,Pass/Not Pass,Infraction Details
118,Maintenance,Chiller - Suara kompresor,"Untuk setiap chiller, cek apakah terdapat suara yang tidak normal dari kompresor.",,,,
119,Maintenance,Freezer - Status,Cek freezer menyala atau tidak.,,,,
120,Maintenance,Freezer - Suhu internal,Cek suhu internal freezer dengan termometer.,,,,
121,Maintenance,Freezer - Suara kompresor,Cek apakah terdapat suara yang tidak normal dari kompresor.,,,,
122,Maintenance,Freezer - Bunga es,Cek apakah bunga es melebihi 2 cm dan harus dilakukan defrost.,,,,
123,Maintenance,Lighting - Switches,"Untuk setiap saklar lampu, cek apakah saklar beroperasi.",,,,
124,Maintenance,Lighting - Lampu berkedip,Cek apakah terdapat lampu yang berkedip di seluruh outlet.,,,,
125,Maintenance,Lighting - Lampu padam,Cek apakah terdapat lampu yang padam di seluruh outlet.,,,,
126,Maintenance,CCTV - Charger,Cek apakah charger tercolok dan menyala.,,,,
127,Maintenance,CCTV - Visual,Cek apakah terdapat tanda kerusakan yang jelas pada CCTV.,,,,
128,Maintenance,Tablet - Layar,Cek apakah terdapat keretakan atau defek pada layar.,,,,
129,Maintenance,Tablet - Ringtone,Cek apakah ringtone berbunyi di tablet.,,,,
130,Maintenance,Tablet - Charger,Cek apakah charger tercolok dan menyala.,,,,
131,Maintenance,Tablet - Charging,Cek apakah baterai mengisi normal saat tercolok.,,,,
132,Maintenance,Taps - Tekanan,"Cek tekanan yang bir yang keluar dari taps, apakah tampak pelan atau normal.",,,,
133,Maintenance,Taps - Suhu produk,"Cek suhu bir yang baru keluar dari taps, normal antara 2-8 C.",,,,
134,Maintenance,Taps - Suhu keg,Cek suhu keg. Normal antara 2-8 C.,,,,
135,Customer Service,Sapa customer,"2 - Menyapa customer baru datang dengan ramah
1 - Menyapa customer baru datang, kurang ramah
0 - Tidak menyapa customer baru datang",2,2.0,Pass,-
136,Customer Service,Tanya pesanan,"1 - Menanyakan pesanan yang diinginkan customer
0 - Tidak menanyakan / menelantarkan customer",1,1.0,Pass,-
137,Customer Service,Upselling,"2 - Menawarkan upselling sesuai SOP
1 - Menawarkan upselling, tidak sesuai SOP
0 - Tidak menawarkan upselling",-,2.0,Pass,-
138,Customer Service,Product knowledge,"2 - Dapat menjawab seluruh pertanyaan produk
1 - Menjawab sebagian pertanyaan dengan salah
0 - Menjawab mayoritas pertanyaan dengan salah",2,2.0,Pass,-
139,Customer Service,Input ESB,"2 - Menginput produk pesanan di ESB dengan benar
1 - Menginput produk pesanan dengan kesalahan, diperbaiki segera
0 - Salah menginput produk hingga pembayaran",2,2.0,Pass,-
140,Customer Service,Review checkout,"1 - Menunjukkan review produk di ESB sebelum pembayaran
0 - Tidak menunjukkan review produk",-,1.0,Not Pass,-
141,Customer Service,Menawarkan QRIS,"1 - Menawarkan QRIS sebagai preferred method
0 - Membiarkan customer membayar dengan metode tunai tanpa menawarkan QRIS",1,1.0,Pass,-
142,Customer Service,Keramahan dan kesopanan,"2 - Ramah dan sopan pada seluruh interaksi
1 - Ramah dan sopan pada sebagian interaksi
0 - Tidak ramah dan tidak sopan pada seluruh interaksi",2,2.0,Pass,-
143,Customer Service,Terima kasih,"1 - Mengucapkan terima kasih kepada customer
0 - Tidak mengucapkan terima kasih",1,1.0,Pass,-
144,Stock Opname,Jumlah produk riil,"1 - Jumlah produk riil sesuai dengan ESB
0 - Jumlah produk riil tidak sesuai dengan ESB",1,1.0,Pass,-
145,Stock Opname,Jumlah produk dalam kartu SO,"1 - Jumlah produk di kartu SO sesuai dengan ESB
0 - Jumlah produk di kartu SO tidak sesuai dengan ESB",1,1.0,Pass,-
146,Stock Opname,"Kecocokan kartu SO
(1 minggu terakhir)","3 - Kontinuitas SO terjaga di setiap kartu
2 - Kurang dari 2 ketidakcocokan dalam 1 minggu
1 - Lebih dari 2 ketidakcocokan dalam 1 minggu
0 - Terdapat produk minus signifikan dalam SO",-,3.0,Not Pass,-
147,Stock Opname,Kerusakan produk,"1 - Tidak ada produk rusak atau produk rusak terlaporkan dengan baik dalam SO
0 - Ada produk rusak yang tidak terlaporkan dalam SO",1,1.0,Pass,-
148,Stock Opname,Expiry produk,"1 - Tidak ada produk expired atau produk expired terlaporkan dengan baik dalam SO
0 - Ada produk expired yang tidak terlaporkan dalam SO",1,1.0,Pass,-
149,Showcase,Produk habis,"1 - Tidak ada produk habis atau produk habis terlaporkan dengan baik dalam SO
0 - Ada produk habis yang tidak terlaporkan dalam SO",1,1.0,Pass,-
150,Showcase,Urutan produk,"3 - Urutan produk di setiap rak sesuai SOP
2 - < 10% urutan produk di rak yang tidak sesuai
1 - 10 - 25% urutan produk di rak yang tidak sesuai
0 - > 25% urutan produk di rak yang tidak sesuai",3,2.0,Pass,-
151,Showcase,Orientasi produk,"3 - Seluruh label atau nama produk menghadap depan
2 - < 10% produk dengan orientasi salah
1 - 10 - 25 % produk dengan orientasi salah
0 - > 25% produk dengan orientasi salah",3,2.0,Pass,-
152,Showcase,Jumlah produk per baris,"3 - Seluruh rak terisi sesuai SOP
2 - < 10% jumlah produk salah (terlalu penuh/kurang)
1 - 10 - 25 % jumlah produk salah (terlalu penuh/kurang)
0 - > 25% jumlah produk salah (terlalu penuh/kurang)",2,2.0,Pass,Menyesuaikan stock
153,Showcase,FIFO,"3 - Seluruh kolom produk terisi sesuai FIFO
2 - < 10% kolom produk tidak memenuhi FIFO
1 - 10 - 25 % kolom produk tidak memenuhi FIFO
0 - > 25% kolom produk tidak memenuhi FIFO",3,2.0,Pass,-
154,Showcase,Label harga,"3 - Seluruh kolom produk dilabeli dengan benar
2 - < 10% kolom produk salah label / tidak ada label
1 - 10 - 25 % kolom produk salah label / tidak ada label
0 - > 25% kolom produk salah label / tidak ada label",-,2.0,Not Pass,Tidak ada label harga karena take away
155,Showcase,Label promosi,"1 - Seluruh label promosi ditampilkan dengan benar
0 - Terdapat kesalahan label promosi",-,1.0,Not Pass,Tidak ada label promosi
156,Absensi,Absensi pulang auditor,,,,,
